CodigoCUPS;Descripcion;QueEs
12502;DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL POR CRANIECTOMÍA;Evacuación de líquido o sangre del espacio comprendido entre la duramadre y el hueso del cráneo mediante el desprendimiento de un colgajo de hueso del cráneo.
12503;DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR POR CRANIECTOMÍA;Evacuación de líquido o sangre del espacio comprendido entre la duramadre y el hueso del cráneo en la parte posterior del mismo mediante el desprendimiento de un colgajo de hueso del cráneo.
12505;CRANIECTOMÍA DESCOMPRESIVA BIFRONTAL;Procedimiento quirúrgico  consiste en realizar descompresión del espacio intracraneal a través  una amplia resección de hueso frontal (craniectomía)  incidiendo  delante de ambos rebordes orbitarios (piso de la base frontal) hacia atrás por la sutura coronal y lateralmente por ambos arcos cigomáticos con reconstrucción de la duramadre (duroplastia)
12506;CRANIECTOMÍA DESCOMPRESIVA HEMISFÉRICA;Procedimiento quirúrgico  consiste en realizar descompresión del espacio intracraneal a través  una amplia resección de los huesos del cráneo  (craniectomía)  incidiendo los huesos frontal temporal parietal y occipital ( fronto–temporo–parieto–occipital) de forma unilateral con reconstrucción de la duramadre (duroplastia)
12507;CRANIECTOMÍA DESCOMPRESIVA EN FOSA POSTERIOR;Procedimiento quirúrgico consiste en realizar una descompresión del espacio intracraneal mediante una amplia resección de hueso occipital (craniectomía) así como una plastia de la duramadre (duroplastia).
13101;DRENAJE DE ESPACIO SUBDURAL POR CRANEOTOMÍA;Evacuación de líquido o sangre del espacio comprendido entre las membranas duramadre y aracnoides que recubren el cerebro mediante la apertura de los huesos del cráneo.
13102;DRENAJE DE ESPACIO SUBDURAL POR TREPANACIÓN;Evacuación de líquido o sangre del espacio comprendido entre las membranas duramadre y aracnoides que recubren el cerebro mediante la perforación de los huesos del cráneo.
13103;DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR POR CRANIECTOMÍA;Evacuación de líquido o sangre del espacio comprendido entre las membranas duramadre y aracnoides que recubren el cerebro en su parte posterior mediante el desprendimiento de un colgajo de hueso del cráneo.
13104;DRENAJE DE ESPACIO SUBDURAL POR DRENAJE EXTERNO;Evacuación de líquido o sangre del espacio comprendido entre las membranas duramadre y aracnoides que recubren el cerebro mediante la colocación de un tubo de drenaje abierto al exterior.
13105;DRENAJE DE ESPACIO SUBARACNOIDEO POR DERIVACIÓN CISTO PERITONEAL;Procedimiento quirúrgico para enviar (derivar) líquido cefalorraquídeo a la cavidad abdominal (peritoneo) mediante la implantación de una válvula de presión programable que va del encéfalo a la vejiga o el peritoneo (membrana que cubre los órganos abdominales).
13106;DRENAJE DE ESPACIO SUBDURAL POR DERIVACIÓN SUBDURO PERITONEAL;Procedimiento quirúrgico para enviar (derivar) líquido del espacio subdural comprendido entre las membranas aracnoides y piamadre que recubren el cerebro a la cavidad abdominal (peritoneo) mediante la implantación de un sistema de drenaje.
13107;INCISIÓN DE MENINGES CEREBRALES;Corte de las membranas que recubren el cerebro y la médula espinal.
13110;DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;Evacuación de líquido o sangre del espacio subdural comprendido entre las membranas duramadre y aracnoides que recubren el cerebro con reparación de roturas o laceraciones.
13201;SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA;Resección quirúrgica de un fragmento del tejido cerebral utilizando dispositivos para generar altas temperaturas localizadas y guiados por técnicas complejas de imágenes que indican la ubicación exacta de la lesión.
13202;SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR CRANEOTOMÍA;Resección de un fragmento de tejido cerebral con apertura quirúrgica del cráneo.
13204;SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA;Resección quirúrgica de un fragmento del tejido cerebral o interrupción de ciertas áreas o vías en el cerebro especialmente en los lóbulos prefrontales vía endoscópica  (introducción de un endoscopio o tubo flexible con cámara incorporada y demás instrumentos a través de varias incisiones pequeñas en la piel u otras capas corporales con el fin de alcanzar y visualizar el lugar del procedimiento).
13205;SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA;Resección quirúrgica  del segmento anterior del cuerpo calloso ( estructura que une los lóbulos cerebrales) con apertura quirúrgica del cráneo.
13206;SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA;Resección quirúrgica  del segmento anterior del cuerpo calloso ( Estructura que une los lóbulos cerebrales) vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
13207;SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA;Resección quirúrgica  del segmento posterior del cuerpo calloso ( Estructura que une los lóbulos cerebrales) con apertura quirúrgica del cráneo.
13208;SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA;Resección quirúrgica  del segmento posterior del cuerpo calloso ( Estructura que une los lóbulos cerebrales) vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
13209;SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) POR CRANEOTOMÍA;Resección quirúrgica del cuerpo calloso  (Estructura que une los lóbulos cerebrales) con apertura quirúrgica del cráneo.
13210;SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) VÍA ENDOSCÓPICA;Resección quirúrgica del cuerpo calloso ( Estructura que une los lóbulos cerebrales) vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
13211;AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMÍA;Porcedimiento quirúrgico consistente en la resección de la punta del lóbulo temporal afectado o de una porción de él que se llama hipocampo con apertura del craneo.
13212;AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) CON ABLACIÓN;Porcedimiento quirúrgico consistente en la destrucción de la punta del lóbulo temporal afectado o de una porción de él que se llama hipocampo por medio de sustancias químicas luz de lasser o hipotermia.
13213;AMIGDALOHIPOCAMPECTOMÍA SUPRASELECTIVA (TRACTO CEREBRAL) VÍA ENDOSCÓPICA;Porcedimiento quirúrgico consistente en la resección de la punta del lóbulo temporal afectado o de una porción de él que se llama hipocampo con apertura del craneo vía endoscópica (uso de endoscopio o tubo flexible con cámara incorporada.
13214;TRACTOTOMÍA LOBAR POR CRANEOTOMÍA;Sección quirúrgica de una vía nerviosa de uno de  los lóbulos cerebrales con apertura quirúrgica del cráneo.
13215;TRACTOTOMÍA LOBAR VÍA ENDOSCÓPICA;Sección quirúrgica de una vía nerviosa de uno de  los lóbulos cerebrales vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
13216;CINGULOTOMÍA ESTEREOTÁCTICA;Tratamiento quirúrgico  consistente en la resección parcial del tejido de la circunvalación cingulada del lóbulo frontal  (parte del tejido cerebral) guiados por técnica compleja de imágenes que indican la ubicación exacta de la lesión.
13217;CINGULOTOMÍA POR CRANEOTOMÍA;Tratamiento quirúrgico  consistente en la resección parcial del tejido de la circunvalación cingulada del lóbulo frontal  (parte del tejido cerebral) con apertura quirúrgica del cráneo.
13218;CINGULOTOMÍA CON ABLACIÓN;Procedimiento   consistente en la resección o destrucción parcial del tejido de la circunvalación cingulada del lóbulo frontal  (parte del tejido cerebral)  por medios físicos o compuestos químicos
13219;TRACTOTOMÍA MESENCEFÁLICA U OTRA LESIÓN DE TALLO CEREBRAL;Procedimiento consistente en la producción de lesiones en el cerebro medio o lesión de tallo cerebral especialmente en las vías de conducción del dolor con fines terapéuticos.
14103;TALAMOTOMÍA POR ESTEREOTAXIA;Tratamiento quirúrgico consistente en la resección parcial de una porción del talamo (parte del tejido cerebral) guiados por técnica compleja de imágenes que indican la ubicación exacta de la lesión.
14201;PALIDOTOMÍA POR ESTEREOTAXIA;Tratamiento quirúrgico consistente en la resección parcial de una porción del globo pálido (parte del tejido cerebral) guiados por técnica compleja de imágenes que indican la ubicación exacta de la lesión.
14301;SUBTALAMOTOMÍA POR ESTEREOTAXIA;Tratamiento quirúrgico consistente en la resección parcial de una porción del subtálamo (parte del tejido cerebral) guiados por técnica compleja de imágenes que indican la ubicación exacta de la lesión.
14401;LESIÓN EN OTRAS ESTRUCTURAS SUBCORTICALES;Tratamiento quirúrgico consistente en la resección parcial en otras estructuras subcorticales (parte del tejido cerebral)
15101;RESECCIÓN TUMOR ÓSEO POR CRANEOTOMÍA;Resección de masa o tumor del hueso del cráneo mediante apertura quirúrgica del cráneo.
15102;RESECCIÓN TUMOR ÓSEO POR CRANIECTOMÍA;Resección de masa o tumor del hueso del cráneo mediante desprendimiento completo de un colgajo de hueso del mismo.
15103;ESCISIÓN DE LESIÓN CRANEAL;Procedimiento quirúrgico donde se realiza resección de lesión ubicada en el cráneo.
15104;CORRECCIÓN DE DISPLASIA FIBROSA DEL CRÁNEO POR CRANIECTOMÍA;Resección quirúrgica de fragmentos de tejido fibroso mediante desprendimiento completo de un colgajo de hueso del mismo para la descompresión de estructuras neurovasculares de la base de cráneo.
15201;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEOFACIAL ANTERIOR;Eliminación de masa tumoral o lesión ubicada en la parte anterior de la base del cráneo mediante desprendimiento completo de un colgajo o fragmento de hueso del cráneo.
15202;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEOFACIAL ANTEROLATERAL;Resección de masa tumoral ubicada en la parte posterior del cráneo mediante  desprendimiento completo de un colgajo o fragmento de hueso del cráneo.
15203;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ANTEROLATERAL Y RINOTOMÍA LATERAL;Procedimiento quirúrgico consistente en eliminar una masa tumoral o lesión ubicada en la fosa anterior de la base del cráneo por abordaje anterior y lateral abriendo la cara anterior de las fosas nasales.
15204;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA TRANSCIGOMÁTICA Y TRANSPALATAL;Resección de masa tumoral o lesión ubicada en la parte anterior del cráneo. Vía  transzigomática (abordaje a través del hueso cigomático o malar) y transpalatal (abordaje a través del paladar).
15205;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR;Resección quirúrgica de masa tumoral o lesión ubicada en la parte anterior de la base del cráneo.
15206;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL (EXTENDIDA);Resección quirúrgica de masa tumoral o lesión ubicada en la parte anterior de la base del cráneo con abordaje a través  de la nariz vía endoscópica  (uso de endoscopio o tubo flexible con cámara incorporada)
15301;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA FRONTAL Y OSTEOTOMÍA FRONTO ETMOIDAL;Resección de masa tumoral ubicada en la base del cráneo fosa media abordando a través de región frontal por incisión quirúrgica de los huesos frontal y etmoidal.
15302;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través del hueso maxilar
15303;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media mediante la localización y acceso preciso de estructuras intracraneanas por incisión quirúrgica del  cráneo.
15304;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL Y OSTEOTOMÍA ZIGOMÁTICA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través del hueso temporal  por incisión quirúrgica del hueso zigomático o malar.
15305;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL EXTENDIDA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través del hueso frontal.
15306;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través del hueso temporal.
15307;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA PREAURICULAR INFRATENTORIAL Y CERVICOTOMÍA;Procedimiento quirúrgico consistente en eliminar una masa tumoral o lesión ubicada en la base del cráneo fosa media por debajo del tentorio (extensión de la duramadre que separa el cerebelo de la porción inferior del lóbulo occipital del cerebro) a través de una incisión por detrás del pabellón auricular y las partes blandas del cuello.
15308;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través del hueso frontal.
15309;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ORBITOTOMÍA LATERAL;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través de la zona lateral de la órbita.
15310;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través de hueso esfenoidal.
15311;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL ENDOSCÓPICA;Resección de masa tumoral  o lesión ubicada en la base del cráneo fosa media con abordaje a través de hueso esfenoidal vía endoscópica (introducción de un endoscopio o tubo flexible con cámara incorporada y demás instrumentos a través de varias incisiones pequeñas en la piel u otras capas corporales con el fin de alcanzar y visualizar el lugar del procedimiento).
15313;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL (EXTENDIDA);Resección de masa tumoral o lesión ubicada en la base del cráneo fosa media con abordaje a través de la nariz vía endoscópica (introducción de un endoscopio o tubo flexible con cámara incorporada y demás instrumentos a través de un la nariz con el fin de alcanzar y visualizar el lugar del procedimiento).
15314;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa imfratemtorial o fosa cigomática (espacio de la región lateral de la cabeza que se ubica profunda e inferiormente del arco cigomático) con vía de abordaje atravesando la apófisis pterigoides
15401;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA EXTREMO LATERAL;Resección de masa tumoral o lesión ubicada en la parte posterior del cráneo con abordaje lateral.
15402;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA FRONTO ORBITO ETMOIDAL;Resección de masa tumoral o lesión ubicada en la parte posterior del cráneo con abordaje a través de hueso frontal órbita y hueso etmoidal.
15403;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMÍA TRANSMANDIBULAR;Procedimiento quirúrgico consistente en resecar un tumor o lesión ubicada en la fosa posterior de la base del cráneo a través de una incisión en el pabellón auricular por debajo del hueso temporal y las partes blandas del cuello a través del maxilar.
15404;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSORAL;Resección de masa tumoral o lesión ubicada en la parte posterior del cráneo con abordaje a través de la boca.
15405;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA MAXILOTOMÍA EXTENDIDA;Resección de masa tumoral o lesión ubicada en la parte posterior del cráneo con incisión quirúrgica del maxilar.
15406;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSLABERÍNTICA;Resección de masa tumoral o lesión ubicada  en la parte posterior del cráneo con abordaje por el oído interno a través del laberinto.
15407;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSCOCLEAR;Resección de masa tumoral ubicada en la parte posterior del cráneo con vía de abordaje a través de la cóclea (en conducto auditivo interno).
15408;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA FOSA MEDIA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa posterior con vía de abordaje a través de la fosa media.
15409;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA SUBOCCIPITAL RETROMASTOIDEA;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa posterior con vía de abordaje por debajo del hueso occipital y por detrás de la zona mastoidea.
15410;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR;Resección de masa tumoral o lesión ubicada en la base del cráneo fosa posterior.
15411;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA ENDONASAL (EXTENDIDA);Resección de  masa tumoral o lesión ubicada en la base del cráneo fosa posterior vía endonasal  (uso de endoscopio o tubo flexible con cámara incorporada).
15412;RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSTUBERCULOYUGULAR O TRANSCONDILAR;Resección de  masa tumoral o lesión ubicada en la base del cráneo fosa posterior con vía de abordaje localizando las eminencias óseas visibles por encima del foramen magno (agujero del hueso occipital) o abordaje quiúrgico del hueso occipital
15501;TOMA DE INJERTO ÓSEO DE CRÁNEO;Toma o resección  de una pieza ósea del cráneo para reparar un defecto en otra parte de éste
15502;RESECCIÓN DE TEJIDO CRANEAL;Procedimiento donde se realiza una extracción de tejido craneal.
16101;RESECCIÓN TUMOR DE MENINGE CEREBRAL POR CRANEOTOMÍA;Resección de masa tumoral meníngea (membranas externas del cerebro y de la médula espinal) por incisión quirúrgica del cráneo.
16102;RESECCIÓN TUMOR DE MENINGE CEREBRAL POR CRANIECTOMÍA CON DUROPLASTIA Y CRANEOPLASTIA;Resección de masa tumoral meníngea (membranas externas del cerebro y de la médula espinal) por incisión quirúrgica del cráneo y reconstrucción de duramadre y del hueso del cráneo.
16103;RESECCIÓN DE TUMORES EN MENINGES CEREBRALES;Resección de masa tumoral meníngea (membranas  externas del cerebro y de la médula espinal)
16201;RESECCIÓN TUMOR DE LA HOZ POR CRANEOTOMÍA Y PLASTIA;Resección de masa tumoral a nivel de la hoz o tabique vertical y medio que divide la fosa cerebral en dos mitades por incisión quirúrgica del cráneo y reconstrucción de éste.
16202;RESECCIÓN TUMORES DE LA HOZ;Resección de masa tumoral a nivel de la hoz o tabique vertical y medio que divide la fosa cerebral en dos mitades.
16301;RESECCIÓN TUMOR DEL TENTORIO POR CRANEOTOMÍA;Resección de masa tumoral a nivel del tentorio o tabique transversal tendido en la parte posterior de la cavidad craneal que separa la fosa cerebral de la fosa cerebelosa por apertura quirúrgica del cráneo.
16302;RESECCIÓN TUMORES DEL TENTORIO;Resección de masa tumoral a nivel del tentorio  o tabique transversal tendido en la parte posterior de la cavidad craneal que separa la fosa cerebral de la fosa cerebelosa.
