expediente;principioactivo;cantidad;unidadmedida;unidadreferencia;formafarmaceutica;registrosanitario;fechaexpedicion;fechavencimiento;estadoregistro
19985551;SERTRALINA CLORHIDRATO (EQUIVALENTE A SERTRALINA);50;mg.;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2008M-0008156;05/30/2008;;Vigente
20198307;SUBSALICILATO DE BISMUTO;1.747;g;100 ML DE SUSPENSION ORAL;SUSPENSION ORAL;INVIMA 2021M-0020409;09/27/2021;;Vigente
32993;DL- ALFATOCOFEROL ACETATO (VITAMINA E SINTETICA EQUIVALENTE A 150 UI);150;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2021M-010670-R4;12/07/2000;;Vigente
20001966;TRAMADOL CLORHIDRATO;100;mg;1 ML;SOLUCION ORAL;INVIMA 2019M-0009647-R1;05/19/2009;;Vigente
20154912;IBESARTAN;150;mg;TABLETA CUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2019M-0019499;12/12/2019;;Vigente
19928346;FONDAPARINUX SODICO;2.5;mg;JERINGA PRELLENADA;SOLUCION INYECTABLE;INVIMA 2022M-0001399-R3;5/03/2002;;Vigente
19915484;GABAPENTINA;300;mg;CAPSULA DURA;CAPSULA DURA;INVIMA 2023M-0000551-R3;9/12/2001;;Vigente
20208822;OMEPRAZOL MICROGR√ÅNULOS 8.5% EQUIVALENTE A OMEPRAZOL BASE;20;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2022M-0020774;09/13/2022;;Vigente
19994393;HIDROXICINA CLORHIDRATO;25;mg;TABLETA;TABLETA BUCAL;INVIMA 2010M-0010470;02/19/2010;;Vigente
20082415;AMLODIPINO BESILATO 6.935MG EQUIVALENTE A AMLODIPINO BASE;5;mg;COMPRIMIDO RECUBIERTO CON PELICULA;TABLETA RECUBIERTA;INVIMA 2015M-0016652;12/04/2015;;Vigente
19900511;NUCLEO: IBUPROFENO (SE AJUSTA DE ACUERDO A POTENCIA);600;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2019M-012623-R2;03/23/1999;;Vigente
19943271;ACIDO ASCORBICO 97% EQUIVALENTE A VITAMINA C;200;mg;TABLETA CUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2022M-0003759-R2;9/07/2004;;Vigente
20195341;LOSARTAN POTASICO;100;mg;TABLETARECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0021044;8/04/2023;;Vigente
20250113;ISOFLAVONA DE SOYA 40% 62.5 MG EQUIVALENTE AISOFLAVONA;25;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;RSM-EXP20240021238;1/11/2024;1/01/3000;Vigente
20152795;CAFEINA;30;mg;CAPSULAS;CAPSULA DURA;INVIMA 2019M-0018977;04/29/2019;;Vigente
20047090;PROPILENGLICOL;3;mg;1 ML;SOLUCION OFTALMICA;INVIMA 2022M-0013929-R1;12/10/2012;;Vigente
20255187;NIMESULIDA;3;g;100 GRAMOSDE GEL;GEL TOPICO;INVIMA 2024M-0021463;5/02/2024;1/01/3000;Vigente
20033290;CLORURO DE POTASIO;0.119;g;;EMULSION INYECTABLE;INVIMA 2019M-0012868-R1;2/09/2012;;Vigente
20193169;CELECOXIB;200;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2021M-0020461;11/08/2021;;Vigente
20128984;ETINILESTRADIOL;0.03;mg;TABLETA RECUBIERTA COLOR ROSADO;TABLETA RECUBIERTA;INVIMA 2019M-0018936;4/09/2019;;Vigente
20254461;BICARBONATO DE SODIO;2.13;g;100 ML DE SUSPENSI”N ORAL;SUSPENSION ORAL;INVIMA 2024M-0021268;01/31/2024;1/01/3000;Vigente
20150721;ENTECAVIR MONOHIDRATO 1.06 MG EQUIVALENTE A ENTECAVIR;1;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0019891;10/28/2020;;Vigente
20253341;CAFE√çNA ANHIDRA;100;mg;TABLETAS;TABLETA;INVIMA 2024M-0021594;08/30/2024;09/23/2029;Vigente
20248216;ESPIRINOLACTONA;25;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2024M-0021237;1/11/2024;1/01/3000;Vigente
20166019;IMIGLUCERASA (200 U EXTRA√çBLES);212;Unidades;CADA VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2020M-0019841;10/01/2020;;Vigente
19965357;MELOXICAM;7.5;mg;TABLETA;TABLETA;INVIMA 2017M-0006252-R1;08/17/2006;;Vigente
20180776;MEROPENEM TRIHIDRATO EQUIVALENTE A MEROPENEM BASE;1;g;VIAL;POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2021M-0020016;9/02/2021;;Vigente
20162428;ETORICOXIB;120;mg;CADA TABLETA RECUBIERTA CONTIENE:;TABLETA RECUBIERTA;INVIMA 2021M-0020185;05/20/2021;;Vigente
20082270;ACETAMINOFEN;325;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2018M-0018613;12/11/2018;;Vigente
19966334;METRONIDAZOL BASE MICRONIZADO;10;g;100 G.;CREMA VAGINAL;INVIMA 2016M-0006798-R1;02/15/2007;;Vigente
20126847;IBUPROFENO COMPRESI√ìN DIRECTA 90%EQUIVALENTE A IBUPROFENO;400;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0018349-R1;08/21/2018;;Vigente
20037896;VITAMINA D3 SECA TIPO 100 SD/S 4 MG EQUIVALENTE A A VITAMINA D3;400;UI;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0015487-R1;12/01/2014;;Vigente
20001078;ACETAMINOFEN;6.5;g;100 ML DE JARABE;JARABE;INVIMA 2021M-0009617-R1;5/12/2009;;Vigente
20189002;ACIDO ACETILSALICILICOEQUIVALENTE A;500;mg;TABLETA DE LIBERACI”N R√ÅPIDA;TABLETA;INVIMA 2021M-0020136;04/27/2021;;Vigente
20231749;SIMETICONA;300;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2023M-0020992;05/23/2023;;Vigente
20057738;BENZOCAINA;2.5;g;100 ML DE SOLUCION;SOLUCION BUCAL;INVIMA 2021M-0014670-R1;10/29/2013;;Vigente
20033045;√ÅCIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE √ÅCIDO EICOSAPENTAENOICO ETIL ESTERY 375 MG √ÅCIDO DOCOSAHEXAENOICO ETIL ESTER );1000;mg;CAPSULA BLANDA DE GELATINA CON CUBIERTA ENTERICA;C√ÅPSULA BLANDA DE GELATINA CON CUBIERTA ENT√âRICA;INVIMA 2017M-0012478-R1;08/23/2011;;Vigente
19980139;KETOTIFENO FUMARATO EQUIVALENTE A KETOTIFENO 20 MG;27.6;mg;100 ML DE SOLUCI”N ORAL;SOLUCION ORAL;INVIMA 2023M-0008671-R2;11/06/2008;;Vigente
20210286;ABROCITINIB;100;mg;TABLETA RECUBIERTA DE COLOR ROSA GRABADA CON EL TEXTO PFE EN UNA CARA Y ABR 100 EN LA OTRA;TABLETA RECUBIERTA;INVIMA 2023M-0021085;10/04/2023;;Vigente
20118914;PREDNISOLONA SODIO FOSFATOEQUIVALENTE A PREDNISOLONA BASE;0.1;g;CADA 100 ML DE SOLUCION ORAL;SOLUCION ORAL;INVIMA 2018M-0018424;10/01/2018;;Vigente
20178194;ARIPIPRAZOL;15;mg;TABLETA;TABLETA;INVIMA 2021M-0020482;12/03/2021;;Vigente
19967207;IRINOTECAN CLORHIDRATO TRIHIDRATADO;100;mg;VIAL POR5 ML;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2017M-0006371-R1;9/06/2006;;Vigente
20229151;TEGOPRAZAN;50;mg;CADA TABLETA CONTIENE;TABLETA RECUBIERTA;INVIMA 2024M-0021568;07/26/2024;8/12/2029;Vigente
20012019;CLOTRIMAZOL;1;g;CADA 100G DE CREMA;CREMA TOPICA;INVIMA 2020M-0010485-R1;02/25/2010;;Vigente
20200349;MALEATO DE NERATINIB 48.31 MG EQUIVALENTE A NERATINIIB;40;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0020905;3/03/2023;;Vigente
20055558;SODIO CLORURO;0.9;g;100 ML SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2021M-0014332-R1;06/28/2013;;Vigente
20118370;SIMETICONA;300;mg;SIN DATO;CAPSULA BLANDA;INVIMA 2019M-0018732;2/01/2019;;Vigente
20071272;NIMESULIDA MICRONIZADA;50;mg;1 ML DE SUSPENSION ORAL;SUSPENSION ORAL;INVIMA 2014M-0015593;12/19/2014;1/01/3000;Vigente
20149503;METOCARBAMOL;750;mg;TABLETAS;TABLETA RECUBIERTA;INVIMA 2019M-0019255;9/02/2019;;Vigente
19982939;SILDENAFILO CITRATO 70.240MG EQUIVALENTE A SILDENAFILO;50;mg;TABLETA;TABLETA;INVIMA 2020M-0008004-R1;04/21/2008;;Vigente
19964558;SECNIDAZOL;500;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0006624-R2;11/28/2006;;Vigente
19962854;MELOXICAM;15;mg;TABLETA ORO DISPERSABLE;TABLETA ORODISPERSABLE;INVIMA 2017M-0006162-R1;07/27/2006;;Vigente
20051078;CAFEINA CITRATO 20 MGEQUIVALENTE A CAFEINA BASE;10;mg;AMPOLLA X 1ML;SOLUCION INYECTABLE;INVIMA 2017M-0013842-R1;11/30/2012;;Vigente
20172406;LANSOPRAZOL MICROGRANULOS CON CUBIERTA ENTERICA (PELLETS 8.5 %) 352.95 MG. DE UNA POTENCIA DE 8.5 % EQUIVALENTES A LANSOPRAZOL;30;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2020M-0019586;02/19/2020;;Vigente
20157467;HIDROCLOROTIAZIDA;25;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019323;09/23/2019;;Vigente
20055206;METOTREXATO;50;mg;VIAL POR 2 ML DE SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2013M-0014407;07/22/2013;;Vigente
20131004;IBUPROFENO COMPRESI√ìN DIRECTA AL 90% (444.44 MG) EQUIVALENTE A IBUPROFENO 400 MG;444.44;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2019M-0019254;9/02/2019;;Vigente
20093177;ETINILESTRADIOL;0.03;mg;COMPRIMIDO RECUBIERTO;TABLETA RECUBIERTA;INVIMA 2023M-0017267-R1;08/26/2016;;Vigente
20002145;BETAMETASONA VALERATOEQUIVALENTE A BETAMETASONA BASE;0.04;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2022M-0009822-R1;7/10/2009;;Vigente
20155370;SILDENAFILO CITRATOEQUIVALENTE A SILDENAFILO;100;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019293;09/16/2019;;Vigente
19955900;DIHIDROCODEINA BITARTRATO;0.242;g;100 ML (12.1MG/5 ML) DE JARABE;JARABE;INVIMA 2022M-0005270-R2;2/02/2006;;Vigente
19924741;GLIBENCLAMIDA;2.5;mg;;TABLETA CUBIERTA CON PELICULA;INVIMA 2023M-0000676-R3;10/31/2001;1/01/3000;Vigente
20172192;IRINOTECAN CLORHIDRATO TRIHIDRATO;20;mg/ml;CADA ML DE SOLUCI”N CONCENTRADA PARA INFUSI”N;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2024M-0021480;05/22/2024;1/01/3000;Vigente
20189546;PARGEVERINA CLORHIDRATO;10;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0021034;07/18/2023;;Vigente
20070851;MIDAZOLAM;50;mg;AMPOLLA POR 10 ML;SOLUCION INYECTABLE;INVIMA 2021M-0015769-R1;3/06/2015;;Vigente
20255064;POLIMIXINA B SULFATO;5;mg;1 ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2023M-0021151;11/22/2023;;Vigente
20078873;FENILEFRINA CLORHIDRATO;5;mg;;TABLETA;INVIMA 2015M-0016175;08/25/2015;;Vigente
20195366;POVIDONA K90;11.6;mg;SIN DATO;TABLETA RECUBIERTA;INVIMA 2024M-0021561;07/23/2024;8/06/2029;Vigente
20039073;GLUCONATO DE CALCIOX H2O;940;mg;AMPOLLA PEBD;SOLUCION INYECTABLE;INVIMA 2022M-0013294-R2;06/25/2012;;Vigente
19960586;VITAMINA C (ACIDO ASCORBICO);70;mg;CAPSULA;CAPSULA BLANDA;INVIMA 2022M-0005692-R2;5/05/2006;;Vigente
20057807;FENILALANINA;0.96;g;BOLSA DE 1000 ML CON 3 COMPARTIMIENTOS;EMULSION INYECTABLE;INVIMA 2021M-0015636-R1;01/16/2015;;Vigente
20201703;ACIDO CARGL√öMICO;200;mg;CADA TABLETA;TABLETA;INVIMA 2023M-0020932;04/18/2023;;Vigente
20140528;IVABRADINA CLORHIDRATO 5.389 MG EQUIVALENTES A IVABRADINA;5;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0018908;4/02/2019;;Vigente
19998072;SULFATO FERROSO HEPTAHIDRATADO 4.575 MG EQUIVALENTE A SULFATO FERROSO ANHIDRO;2500;mg;100 ML DE SOLUCION ORAL;SOLUCION ORAL;INVIMA 2009M-0009326;3/03/2009;;Vigente
19962938;KETOPROFENO (CAPA AMARILLA);75;mg;COMPRIMIDO DELIBERACI”N PROLONGADA;TABLETA DE LIBERACION PROLONGADA;INVIMA 2023M-0005854-R2;6/09/2006;;Vigente
20043354;CETIRIZINA DICLORHIDRATO;100;mg;100ML DE JARABE (5MG /5ML);JARABE;INVIMA 2021M-0013647-R1;9/12/2012;;Vigente
19940740;ACICLOVIR;4;g;33.33G DE POLVO PARA RECONSTITUIR A 100ML (200 MG /5ML)CONTIENE ACICLOVIR 4.00G;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2020M-0003021-R2;01/20/2004;;Vigente
19986384;TOXOIDE DIFTERICO ADSORBIDO;2;LfU;VIAL CONTENIENDO 0.5 ML DE VACUNA;SUSPENSION INYECTABLE;INVIMA 2020MB-0008078-R1;5/12/2008;;Vigente
19990133;CEFALEXINA MONOHIDRATO COMPACTADA 536.4 MG EQUIVALENTE A CEFALEXINA BASE;500;mg;CAPSULA;CAPSULA DURA;INVIMA 2008M-0008188;6/10/2008;1/01/3000;Vigente
228320;AMISULPRIDA BASE;50;mg;TABLETA;TABLETA;INVIMA 2021M-011317-R2;07/30/1998;;Vigente
20033258;LEUCINA;0.395;g;CADA 100 ML;EMULSION INYECTABLE;INVIMA 2023M-0012867-R2;2/09/2012;;Vigente
19993923;METOCLOPRAMIDA CLORHIDRATO11.22 MG EQUIVALENTE A METOCLOPRAMIDA BASE;10;mg;AMPOLLA DE 2 ML DE SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2020M-0009120-R1;01/22/2009;;Vigente
20206658;CEFALEXINA MONOHIDRATO EQUIVALENTE A;500;mg;X 1 CAPSULA;CAPSULA DURA;INVIMA 2023M-0020856;01/23/2023;;Vigente
20010014;HIDROCLOROTIAZIDA;12.5;mg;TABLETA;TABLETA;INVIMA 2022M-0010325-R1;01/26/2010;;Vigente
19972486;DEXAMETASONA SODIO FOSFATO EQUIVALENTE A DEXAMETASONA BASE;0.04;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2020M-0007164-R1;7/09/2007;;Vigente
19983468;AMBROXOL CLORHIDRATO;0.6;g;100 ML.SOLUCION;SOLUCION ORAL;INVIMA 2021M-0008133-R1;05/23/2008;;Vigente
29593;FLUOXETINA CLORHIDRATO (22.39 MG)EQUIVALENTE A FLUOXETINA;20;mg;C√ÅPSULADURA;CAPSULA DURA;INVIMA 2022 M-010266-R3;04/20/1998;;Vigente
20149185;BRIVARACETAM;100;mg;TABLETAS;TABLETA RECUBIERTA;INVIMA 2019M-0019234;08/20/2019;;Vigente
20124520;DL -ALFATOCOFERIL ACETATO / VIT E SINTETICA (EQUIVALENTE A 1000 UI DE VITAMINAE);1000;UI;CAPSULA BLANDA DE GELATINA;CAPSULA BLANDA;INVIMA 2018M-0018386;9/10/2018;;Vigente
20146427;HEMAGLUTININA DE LA CEPA DE TIPO A/THAILAND/8/2022 (H3N2) (A/THAILAND/8/2022. IVR-237);15;ug;JERINGA PRELLENADA CON 0.5ML;SUSPENSION INYECTABLE;INVIMA 2020MB-0000008;07/17/2020;;Vigente
19985986;RIVASTIGMINA BASE (MATRIZ FARMACO);27;mg;PARCHE CIRCULAR DE 15CM2;TRANSDERMICOS;INVIMA 2023M-0007794-R1;02/22/2008;;Vigente
19985417;TRIMEBUTINAMALEATO;200;mg;TABLETA;TABLETA;INVIMA 2022M-0008233-R1;06/19/2008;;Vigente
20124740;KETOCONAZOL;2.04;g;PARA 100 G DE CREMA T”PICA;CREMA TOPICA;INVIMA 2020M-0019792;08/24/2020;;Vigente
20067026;ACETAMINOFEN DEL 90% PRECOMPACTADO / MALEATO DE CLORFENIRAMINA AL 0.55% EQUIVALENTE A MALEATO DE CLORFENIRAMINA;2;mg;SIN DATO;TABLETA RECUBIERTA;INVIMA 2014M-0015542;12/15/2014;;Vigente
19966575;FOSFATO DE POTASIO MONOBASICO ANHIDRO;2;g;10 ML DE SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2018M-0006687-R1;12/12/2006;;Vigente
19964636;KETOCONAZOL;200;mg;TABLETA;TABLETA;INVIMA 2023M-0006255-R2;08/17/2006;;Vigente
20061748;TAURINA;1;g;1000ML DE SOLUCI”N;EMULSION INYECTABLE;INVIMA 2015M-0015753;3/02/2015;1/01/3000;Vigente
201950;METRONIDAZOL;500;mg;CADA FRASCO POR 100 MLDE SOLUCION INYECTABLE CONTIENE:;INYECTABLES;INVIMA 2022M-010787-R2;05/28/1998;;Vigente
19973372;CLOROQUINA FOSFATO EQUIVALENTE A CLOROQUINA BASE 150 MG;250;mg;TABLETA;TABLETA;INVIMA 2018M-0007951-R1;4/10/2008;;Vigente
20140915;VALSARTAN;160;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2018M-0018640;12/14/2018;;Vigente
19973311;ALBENDAZOL;200;mg;TABLETA;TABLETA;INVIMA 2019M-0006920-R1;03/29/2007;;Vigente
20191437;OXIMETAZOLINA CLORHIDRATO;0.25;mg;CADA ML DE SOLUCION NASAL CONTIENE;SOLUCIONNASAL;INVIMA 2021M-0020274;06/29/2021;;Vigente
19950727;ASCORBATO DE SODIO EQUIVALENTE A ACIDO ASCORBICO;270;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2022M-0004550-R2;06/30/2005;;Vigente
35005;CLIOQUINOL;3;g;;CREMA TOPICA;INVIMA 2022M-011347-R4;5/07/2000;;Vigente
20167893;BORTEZOMIB;3.5;mg;CADA VIAL DE 10 ML;POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2024M-0021361;02/29/2024;1/01/3000;Vigente
224030;INSULINA LISPRO 100 UNIDADES (ORIGEN DNA RECOMBINANTE PRODUCIDO POR E. COLI );3.5;mg;ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2020MBT-010101-R2;1/01/1999;;Vigente
20141828;DESLORATADINA;5;mg;TABLETARECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019222;08/16/2019;;Vigente
20123301;SAFINAMIDA METANOSULFONATO EQUIVALENTE A SAFINAMIDA;50;mg;TABLETA RECUBIERTACON PELICULA;TABLETA CUBIERTA CON PELICULA;INVIMA 2018M-0018560;11/28/2018;;Vigente
20059755;FENILEFRINA CLORHIDRATO;50;mg;100 ML DE JARABE;JARABE;INVIMA 2019M-0014737-R1;12/04/2013;;Vigente
20127414;PRAMIPEXOL DICLORHIDRATO MONOHIDRATO;4.5;mg;TABLETA DE LIBERACI”N PROLONGADA;TABLETA DE LIBERACION PROLONGADA;INVIMA 2021M-0020411;10/01/2021;;Vigente
20104881;LABETALOL CLORHIDRATO;5;mg;1 ML;SOLUCION INYECTABLE;INVIMA 2016M-0017141;06/30/2016;;Vigente
20211893;BETAMETASONA DIPROPIONATO EQUIVALENTE A BETAMETSA BAS;0.1;g;100G DE CREMA;CREMA TOPICA;INVIMA 2023M-0021208;12/19/2023;1/01/3000;Vigente
20145801;ETINIL ESTRADIOL;0.03;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0020020;2/11/2021;1/01/3000;Vigente
20030605;ACETATO DE MAGNESIO TETRAHIDRATO;0.91;g;1000 ML;EMULSION INYECTABLE;INVIMA 2017M-0012937-R1;02/27/2012;;Vigente
19987850;BACITRACINA DE ZINC;50000;UI;100 G DE UNGUENTO;UNGUENTO OFTALMICO;INVIMA 2022M-0008090-R1;5/12/2008;;Vigente
20103748;SALMETEROL XINAFOATO 72.5 MCG. EQUIVALENTES A SALMETEROL BASE;50;mcg;C√ÅPSULA DURA DE HIPROMELOSA (HPMC) COLOR NATURAL;POLVO PARA INHALACION;INVIMA 2016M-0017453;11/21/2016;;Vigente
20029758;METOTREXATO DISODICO EQUIVALENTE A METOTREXATO BASE;7.5;mg;JERINGA PRELLENADA X0.15ML;SOLUCION INYECTABLE;INVIMA 2017M-0012522-R1;9/12/2011;;Vigente
20131730;ACETAMINOFEN (COMPAP L*) 364.903 MG EQUIVALENTE A ACETAMINOFEN;325;mg;TABLETA COLOR BLANCO;TABLETA;INVIMA 2023M-0018042-R1;02/27/2018;;Vigente
19980518;AZITRIMCINA DIHIDRATO 538.76 MG EQUIVALENTE A AZITROMICINA ANHIDRA;500;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0007752-R1;2/12/2008;;Vigente
210570;AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE;4;g;86.67 G DE POLVO PARA RECONSTITUIR A 100 ML;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2020M-007293-R2;1/01/1999;;Vigente
20043436;NICOTINA RESINATOEQUIVALENTE A NICOTINA;4;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2018M-0013785-R1;11/14/2012;;Vigente
